ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country,matrix,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",Type of sampling depth,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,Sludge total organic carbon (% of total dry weight)
21687,EMBLAS-II (Survey 2017),Real Sample,Mytilus galloprovincialis from Ukraine (Sample 14),"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,Mytilus galloprovincialis,,,Black Sea,,Marine environment,,Black Sea,,Other (22510),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21688,EMBLAS-II (Survey 2017),Real Sample,Mytilus galloprovincialis from Ukraine (Sample 14),"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,Mytilus galloprovincialis,,,Black Sea,,Marine environment,,Black Sea,,Other (22510),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21689,EMBLAS-II (Survey 2017),Real Sample,Rapana thomasiana from Ukraine (Sample 13),"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,Rapana thomasiana,,,Black Sea,,Marine environment,,Black Sea,,Other (22510),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21690,EMBLAS-II (Survey 2017),Real Sample,Rapana thomasiana from Ukraine (Sample 13),"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,Rapana thomasiana,,,Black Sea,,Marine environment,,Black Sea,,Other (22510),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21691,EMBLAS-II (Survey 2017),Real Sample,"Whole Fish, Barabulka from Georgia (Sample 12B)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Batumi,Georgia,41.90545,41.59606,1.0,Wet weight,Barabulka,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Georgia,biota,,,,,,,,,,,,,,,
21692,EMBLAS-II (Survey 2017),Real Sample,"Whole Fish, Barabulka from Georgia (Sample 12B)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Batumi,Georgia,41.90545,41.59606,1.0,Wet weight,Barabulka,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Georgia,biota,,,,,,,,,,,,,,,
21693,EMBLAS-II (Survey 2017),Real Sample,"Fish, Barabulka from Georgia (Sample 12)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Batumi,Georgia,41.90545,41.59606,1.0,Wet weight,Barabulka,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Georgia,biota,,,,,,,,,,,,,,,
21694,EMBLAS-II (Survey 2017),Real Sample,"Fish, Barabulka from Georgia (Sample 12)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Batumi,Georgia,41.90545,41.59606,1.0,Wet weight,Barabulka,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Georgia,biota,,,,,,,,,,,,,,,
21695,EMBLAS-II (Survey 2017),Real Sample,Rapana thomasiana from Georgia (Sample 11),"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Batumi,Georgia,41.90545,41.59606,1.0,Wet weight,Rapana thomasiana,,,Black Sea,,Marine environment,,Black Sea,,Other (22510),Soft body,,,Georgia,biota,,,,,,,,,,,,,,,
21696,EMBLAS-II (Survey 2017),Real Sample,Rapana thomasiana from Georgia (Sample 11),"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Batumi,Georgia,41.90545,41.59606,1.0,Wet weight,Rapana thomasiana,,,Black Sea,,Marine environment,,Black Sea,,Other (22510),Soft body,,,Georgia,biota,,,,,,,,,,,,,,,
21697,EMBLAS-II (Survey 2017),Real Sample,Dead Dolphin from Ukraine (Sample 10),"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Odesa,Ukraine,45.38319,31.29838,0.0,Wet weight,Dolphin,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21698,EMBLAS-II (Survey 2017),Real Sample,Dead Dolphin from Ukraine (Sample 10),"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Odesa,Ukraine,45.38319,31.29838,0.0,Wet weight,Dolphin,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21699,EMBLAS-II (Survey 2017),Real Sample,Dead Dolphin from Ukraine (Sample 09),"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Odesa,Ukraine,45.38319,31.29838,0.0,Wet weight,Dolphin,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21700,EMBLAS-II (Survey 2017),Real Sample,Dead Dolphin from Ukraine (Sample 09),"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Odesa,Ukraine,45.38319,31.29838,0.0,Wet weight,Dolphin,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21701,EMBLAS-II (Survey 2017),Real Sample,"Fish, Kefal-Mullet from Russia (Sample 08)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Novoshakhtinsk,Russia,44.235813,38.175177,1.0,Wet weight,Kefal-Mullet,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Russia,biota,,,,,,,,,,,,,,,
21702,EMBLAS-II (Survey 2017),Real Sample,"Fish, Kefal-Mullet from Russia (Sample 08)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Novoshakhtinsk,Russia,44.235813,38.175177,1.0,Wet weight,Kefal-Mullet,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Russia,biota,,,,,,,,,,,,,,,
21703,EMBLAS-II (Survey 2017),Real Sample,"Fish, Trachurus trachurus from Georgia (Sample 07)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Batumi,Georgia,41.90545,41.59606,1.0,Wet weight,Trachurus trachurus,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Georgia,biota,,,,,,,,,,,,,,,
21704,EMBLAS-II (Survey 2017),Real Sample,"Fish, Trachurus trachurus from Georgia (Sample 07)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Batumi,Georgia,41.90545,41.59606,1.0,Wet weight,Trachurus trachurus,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Georgia,biota,,,,,,,,,,,,,,,
21705,EMBLAS-II (Survey 2017),Real Sample,"Fish, Pomatomus saltatrix from Georgia (Sample 06)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Batumi,Georgia,45.38319,31.29838,1.0,Wet weight,Pomatomus saltatrix,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Georgia,biota,,,,,,,,,,,,,,,
21706,EMBLAS-II (Survey 2017),Real Sample,"Fish, Pomatomus saltatrix from Georgia (Sample 06)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Batumi,Georgia,45.38319,31.29838,1.0,Wet weight,Pomatomus saltatrix,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Georgia,biota,,,,,,,,,,,,,,,
21707,EMBLAS-II (Survey 2017),Real Sample,"Fish, Uranoscopus scaber from Georgia (Sample 05)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Batumi,Georgia,41.90545,41.59606,1.0,Wet weight,Uranoscopus scaber,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Georgia,biota,,,,,,,,,,,,,,,
21708,EMBLAS-II (Survey 2017),Real Sample,"Fish, Uranoscopus scaber from Georgia (Sample 05)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Batumi,Georgia,41.90545,41.59606,1.0,Wet weight,Uranoscopus scaber,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Georgia,biota,,,,,,,,,,,,,,,
21709,EMBLAS-II (Survey 2017),Real Sample,"Fish, Alosa kessleri portico from Georgia (Sample 04)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Batumi,Georgia,41.59606,41.90545,1.0,Wet weight,Alosa kessleri,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Georgia,biota,,,,,,,,,,,,,,,
21710,EMBLAS-II (Survey 2017),Real Sample,"Fish, Alosa kessleri portico from Georgia (Sample 04)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Batumi,Georgia,41.59606,41.90545,1.0,Wet weight,Alosa kessleri,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Georgia,biota,,,,,,,,,,,,,,,
21711,EMBLAS-II (Survey 2017),Real Sample,"Fish, Mullus barbathus from Georgia (Sample 03)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Batumi,Georgia,41.90545,41.59606,1.0,Wet weight,Mullus barbathus,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Georgia,biota,,,,,,,,,,,,,,,
21712,EMBLAS-II (Survey 2017),Real Sample,"Fish, Mullus barbathus from Georgia (Sample 03)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Batumi,Georgia,41.90545,41.59606,1.0,Wet weight,Mullus barbathus,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Georgia,biota,,,,,,,,,,,,,,,
21713,EMBLAS-II (Survey 2017),Real Sample,"Fish, Platychthys flesus from Ukraine (Sample 02)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,Platychthys flesus,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21714,EMBLAS-II (Survey 2017),Real Sample,"Fish, Platychthys flesus from Ukraine (Sample 02)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,Platychthys flesus,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21715,EMBLAS-II (Survey 2017),Real Sample,"Fish, Mesogibius batrachocephalus from Ukraine (Sample 01)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,Mesogibius batrachocephalus,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21716,EMBLAS-II (Survey 2017),Real Sample,"Fish, Mesogibius batrachocephalus from Ukraine (Sample 01)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,Mesogibius batrachocephalus,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21773,EMBLAS-II (Survey 2017),Blank Sample,Seawater Procedural Blank for JOSS 05+08+09 at different depths,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",10,Batumi,Georgia,42.23916,39.88277,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,127.6,,,,Black Sea,,,,,,
21774,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS09 at 127.6m,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",10,Batumi,Georgia,42.23916,39.88277,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,127.6,,,,Black Sea,,,,,,
21775,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS09 at 24m,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",10,Batumi,Georgia,42.23916,39.88277,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,24.0,,,,Black Sea,,,,,,
21776,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS09 at 0m,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",10,Batumi,Georgia,42.23916,39.88277,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21777,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS08 at 72.7m,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",10,Odesa,Ukraine,43.52027,36.0595,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,72.7,,,,Black Sea,,,,,,
21778,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS08 at 32m,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",10,Odesa,Ukraine,43.52027,36.0595,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,32.0,,,,Black Sea,,,,,,
21779,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS08 at 0m,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",10,Odesa,Ukraine,43.52027,36.0595,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21780,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS05 at 91m,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",10,Odesa,Ukraine,43.39608,31.81213,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,91.0,,,,Black Sea,,,,,,
21781,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS05 at 30m,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",10,Odesa,Ukraine,43.39608,31.81213,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,30.0,,,,Black Sea,,,,,,
21782,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS05 at 0m,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",10,Odesa,Ukraine,43.39608,31.81213,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21789,EMBLAS-II (Survey 2017),Real Sample,Seawater C-1,"Sat, 08/26/2017 - 22:00","Sat, 07/22/2017 - 22:00",10,Tulcea,Romania,45.345,29.85611,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21790,EMBLAS-II (Survey 2017),Real Sample,Seawater CW05,"Wed, 09/06/2017 - 22:00","Wed, 08/02/2017 - 22:00",10,Odesa,Ukraine,46.06893,30.46383,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21791,EMBLAS-II (Survey 2017),Real Sample,Seawater CW08,"Wed, 09/06/2017 - 22:00","Wed, 08/02/2017 - 22:00",10,Odesa,Ukraine,46.06893,31.17138,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21792,EMBLAS-II (Survey 2017),Real Sample,Seawater CW07,"Wed, 09/06/2017 - 22:00","Wed, 08/02/2017 - 22:00",10,Odesa,Ukraine,46.55345,30.76923,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21793,EMBLAS-II (Survey 2017),Real Sample,Seawater GE03,"Sun, 09/03/2017 - 22:00","Sun, 07/30/2017 - 22:00",10,Batumi,Georgia,41.69176,41.70365,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21794,EMBLAS-II (Survey 2017),Real Sample,Seawater GE02,"Sun, 09/03/2017 - 22:00","Sun, 07/30/2017 - 22:00",10,Batumi,Georgia,41.65001,41.64504,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21795,EMBLAS-II (Survey 2017),Real Sample,Seawater GE01,"Sun, 09/03/2017 - 22:00","Sun, 07/30/2017 - 22:00",10,Batumi,Georgia,41.65658,41.63325,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21796,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS12,"Sun, 09/03/2017 - 22:00","Sun, 07/30/2017 - 22:00",10,Batumi,Georgia,41.78425,41.22119,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21797,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS11,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",10,Batumi,Georgia,41.93758,40.82672,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21798,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS10,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",10,Batumi,Georgia,42.10333,40.33652,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21799,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS09,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",10,Batumi,Georgia,42.23916,39.88277,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21800,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS08,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",10,Odesa,Ukraine,43.52027,36.0595,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21801,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS07,"Thu, 08/31/2017 - 22:00","Thu, 07/27/2017 - 22:00",10,Odesa,Ukraine,43.38047,34.12998,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21802,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS06,"Thu, 08/31/2017 - 22:00","Thu, 07/27/2017 - 22:00",10,Odesa,Ukraine,43.41397,32.86744,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21803,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS05,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",10,Odesa,Ukraine,43.39608,31.81213,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21804,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS04,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",10,Odesa,Ukraine,44.11272,31.56897,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21805,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS03,"Tue, 08/29/2017 - 22:00","Tue, 07/25/2017 - 22:00",10,Odesa,Ukraine,44.85216,31.34205,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21806,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS02,"Tue, 08/29/2017 - 22:00","Tue, 07/25/2017 - 22:00",10,Odesa,Ukraine,45.2148,31.26566,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21807,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS01,"Mon, 08/28/2017 - 22:00","Mon, 07/24/2017 - 22:00",10,Odesa,Ukraine,46.3863,31.02075,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
