ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight),matrix,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",Alive or not,Basis of measurement,Biota species name (in Latin),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country
21857,EMBLAS-II (Survey 2016),Real Sample,Sediment UA06,"Wed, 05/18/2016 - 22:00","Wed, 04/13/2016 - 22:00",11,Odesa,Ukraine,45.33333,29.84333,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21858,EMBLAS-II (Survey 2016),Real Sample,Sediment UA06,"Wed, 05/18/2016 - 22:00","Wed, 04/13/2016 - 22:00",10,Odesa,Ukraine,45.33333,29.84333,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21859,EMBLAS-II (Survey 2016),Real Sample,Sediment UA05,"Wed, 05/18/2016 - 22:00","Wed, 04/13/2016 - 22:00",11,Odesa,Ukraine,45.51667,29.83333,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21860,EMBLAS-II (Survey 2016),Real Sample,Sediment UA05,"Wed, 05/18/2016 - 22:00","Wed, 04/13/2016 - 22:00",10,Odesa,Ukraine,45.51667,29.83333,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21861,EMBLAS-II (Survey 2016),Real Sample,Sediment UA01,"Tue, 05/17/2016 - 22:00","Tue, 04/12/2016 - 22:00",11,Odesa,Ukraine,46.2,30.81667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21862,EMBLAS-II (Survey 2016),Real Sample,Sediment UA01,"Tue, 05/17/2016 - 22:00","Tue, 04/12/2016 - 22:00",10,Odesa,Ukraine,46.2,30.81667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21863,EMBLAS-II (Survey 2016),Real Sample,Sediment JOSS21,"Sat, 06/04/2016 - 22:00","Sat, 04/30/2016 - 22:00",11,Odesa,Ukraine,43.25,31.83333,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21864,EMBLAS-II (Survey 2016),Real Sample,Sediment JOSS21,"Sat, 06/04/2016 - 22:00","Sat, 04/30/2016 - 22:00",10,Odesa,Ukraine,43.25,31.83333,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21865,EMBLAS-II (Survey 2016),Real Sample,Sediment JOSS16,"Fri, 05/27/2016 - 22:00","Fri, 04/22/2016 - 22:00",11,Odesa,Ukraine,43.08333,35.5,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21866,EMBLAS-II (Survey 2016),Real Sample,Sediment JOSS16,"Fri, 05/27/2016 - 22:00","Fri, 04/22/2016 - 22:00",10,Odesa,Ukraine,43.08333,35.5,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21867,EMBLAS-II (Survey 2016),Real Sample,Sediment JOSS13,"Fri, 05/27/2016 - 22:00","Fri, 04/22/2016 - 22:00",11,Odesa,Ukraine,42.71667,37.45,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21868,EMBLAS-II (Survey 2016),Real Sample,Sediment JOSS13,"Fri, 05/27/2016 - 22:00","Fri, 04/22/2016 - 22:00",10,Odesa,Ukraine,42.71667,37.45,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21869,EMBLAS-II (Survey 2016),Real Sample,Sediment JOSS12,"Fri, 06/03/2016 - 22:00","Fri, 04/29/2016 - 22:00",11,Odesa,Ukraine,42.38333,38.58333,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21870,EMBLAS-II (Survey 2016),Real Sample,Sediment JOSS12,"Fri, 06/03/2016 - 22:00","Fri, 04/29/2016 - 22:00",10,Odesa,Ukraine,42.38333,38.58333,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21871,EMBLAS-II (Survey 2016),Real Sample,Sediment JOSS03,"Fri, 06/03/2016 - 22:00","Fri, 04/29/2016 - 22:00",11,Odesa,Ukraine,43.08333,33.41667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21872,EMBLAS-II (Survey 2016),Real Sample,Sediment JOSS03,"Fri, 06/03/2016 - 22:00","Fri, 04/29/2016 - 22:00",10,Odesa,Ukraine,43.08333,33.41667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21873,EMBLAS-II (Survey 2016),Real Sample,Sediment GE14,"Sun, 05/29/2016 - 22:00","Sun, 04/24/2016 - 22:00",11,Tbilisi,Georgia,42.373,41.55833,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21874,EMBLAS-II (Survey 2016),Real Sample,Sediment GE14,"Sun, 05/29/2016 - 22:00","Sun, 04/24/2016 - 22:00",10,Tbilisi,Georgia,42.373,41.55833,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21875,EMBLAS-II (Survey 2016),Real Sample,Sediment GE11,"Sun, 05/29/2016 - 22:00","Sun, 04/24/2016 - 22:00",11,Tbilisi,Georgia,42.12367,41.61917,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21876,EMBLAS-II (Survey 2016),Real Sample,Sediment GE11,"Sun, 05/29/2016 - 22:00","Sun, 04/24/2016 - 22:00",10,Tbilisi,Georgia,42.12367,41.61917,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21877,EMBLAS-II (Survey 2016),Real Sample,Sediment GE08,"Mon, 05/30/2016 - 22:00","Mon, 04/25/2016 - 22:00",11,Tbilisi,Georgia,41.9035,41.75183,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21878,EMBLAS-II (Survey 2016),Real Sample,Sediment GE08,"Mon, 05/30/2016 - 22:00","Mon, 04/25/2016 - 22:00",10,Tbilisi,Georgia,41.9035,41.75183,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21879,EMBLAS-II (Survey 2016),Real Sample,Sediment GE03,"Tue, 05/31/2016 - 22:00","Tue, 04/26/2016 - 22:00",11,Tbilisi,Georgia,41.66556,41.59333,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21880,EMBLAS-II (Survey 2016),Real Sample,Sediment GE03,"Tue, 05/31/2016 - 22:00","Tue, 04/26/2016 - 22:00",10,Tbilisi,Georgia,41.66556,41.59333,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21881,EMBLAS-II (Survey 2016),Real Sample,Sediment GE02,"Sat, 05/28/2016 - 22:00","Sat, 04/23/2016 - 22:00",11,Tbilisi,Georgia,41.5725,41.54,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21882,EMBLAS-II (Survey 2016),Real Sample,Sediment GE02,"Sat, 05/28/2016 - 22:00","Sat, 04/23/2016 - 22:00",10,Tbilisi,Georgia,41.5725,41.54,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21883,EMBLAS-II (Survey 2016),Real Sample,Sediment GE01,"Sat, 05/28/2016 - 22:00","Sat, 04/23/2016 - 22:00",11,Tbilisi,Georgia,41.55167,41.55778,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21884,EMBLAS-II (Survey 2016),Real Sample,Sediment GE01,"Sat, 05/28/2016 - 22:00","Sat, 04/23/2016 - 22:00",10,Tbilisi,Georgia,41.55167,41.55778,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21885,EMBLAS-II (Survey 2016),Real Sample,Seawater UA15,"Sat, 05/21/2016 - 22:00","Sat, 04/16/2016 - 22:00",11,Odesa,Ukraine,46.52667,31.79167,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21886,EMBLAS-II (Survey 2016),Real Sample,Seawater UA15,"Sat, 05/21/2016 - 22:00","Sat, 04/16/2016 - 22:00",10,Odesa,Ukraine,46.52667,31.79167,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21887,EMBLAS-II (Survey 2016),Real Sample,Seawater UA14,"Sat, 05/21/2016 - 22:00","Sat, 04/16/2016 - 22:00",11,Odesa,Ukraine,46.43,31.01667,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21888,EMBLAS-II (Survey 2016),Real Sample,Seawater UA14,"Sat, 05/21/2016 - 22:00","Sat, 04/16/2016 - 22:00",10,Odesa,Ukraine,46.43,31.01667,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21889,EMBLAS-II (Survey 2016),Real Sample,Seawater UA13,"Sat, 05/21/2016 - 22:00","Sat, 04/16/2016 - 22:00",11,Odesa,Ukraine,46.58333,31.46167,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21890,EMBLAS-II (Survey 2016),Real Sample,Seawater UA13,"Sat, 05/21/2016 - 22:00","Sat, 04/16/2016 - 22:00",10,Odesa,Ukraine,46.58333,31.46167,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21891,EMBLAS-II (Survey 2016),Real Sample,Seawater UA12,"Fri, 05/20/2016 - 22:00","Fri, 04/15/2016 - 22:00",11,Odesa,Ukraine,46.33333,31.48333,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21892,EMBLAS-II (Survey 2016),Real Sample,Seawater UA12,"Fri, 05/20/2016 - 22:00","Fri, 04/15/2016 - 22:00",10,Odesa,Ukraine,46.33333,31.48333,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21893,EMBLAS-II (Survey 2016),Real Sample,Seawater UA11,"Fri, 05/20/2016 - 22:00","Fri, 04/15/2016 - 22:00",11,Odesa,Ukraine,46.0,31.25,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21894,EMBLAS-II (Survey 2016),Real Sample,Seawater UA11,"Fri, 05/20/2016 - 22:00","Fri, 04/15/2016 - 22:00",10,Odesa,Ukraine,46.0,31.25,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21895,EMBLAS-II (Survey 2016),Real Sample,Seawater UA10,"Fri, 05/20/2016 - 22:00","Fri, 04/15/2016 - 22:00",11,Odesa,Ukraine,45.83333,31.01,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21896,EMBLAS-II (Survey 2016),Real Sample,Seawater UA10,"Fri, 05/20/2016 - 22:00","Fri, 04/15/2016 - 22:00",10,Odesa,Ukraine,45.83333,31.01,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21897,EMBLAS-II (Survey 2016),Real Sample,Seawater UA09,"Fri, 05/20/2016 - 22:00","Fri, 04/15/2016 - 22:00",11,Odesa,Ukraine,45.66667,31.25,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21898,EMBLAS-II (Survey 2016),Real Sample,Seawater UA09,"Fri, 05/20/2016 - 22:00","Fri, 04/15/2016 - 22:00",10,Odesa,Ukraine,45.66667,31.25,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21899,EMBLAS-II (Survey 2016),Real Sample,Seawater UA08,"Thu, 05/19/2016 - 22:00","Thu, 04/14/2016 - 22:00",11,Odesa,Ukraine,45.16667,31.01,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21900,EMBLAS-II (Survey 2016),Real Sample,Seawater UA08,"Thu, 05/19/2016 - 22:00","Thu, 04/14/2016 - 22:00",10,Odesa,Ukraine,45.16667,31.01,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21901,EMBLAS-II (Survey 2016),Real Sample,Seawater UA07,"Thu, 05/19/2016 - 22:00","Thu, 04/14/2016 - 22:00",11,Odesa,Ukraine,45.2,29.81,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21902,EMBLAS-II (Survey 2016),Real Sample,Seawater UA07,"Thu, 05/19/2016 - 22:00","Thu, 04/14/2016 - 22:00",10,Odesa,Ukraine,45.2,29.81,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21903,EMBLAS-II (Survey 2016),Real Sample,Seawater UA06,"Wed, 05/18/2016 - 22:00","Wed, 04/13/2016 - 22:00",11,Odesa,Ukraine,45.51667,29.83333,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21904,EMBLAS-II (Survey 2016),Real Sample,Seawater UA06,"Wed, 05/18/2016 - 22:00","Wed, 04/13/2016 - 22:00",10,Odesa,Ukraine,45.51667,29.83333,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21905,EMBLAS-II (Survey 2016),Real Sample,Seawater UA05,"Wed, 05/18/2016 - 22:00","Wed, 04/13/2016 - 22:00",11,Odesa,Ukraine,45.51667,29.83333,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21906,EMBLAS-II (Survey 2016),Real Sample,Seawater UA05,"Wed, 05/18/2016 - 22:00","Wed, 04/13/2016 - 22:00",10,Odesa,Ukraine,45.51667,29.83333,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21907,EMBLAS-II (Survey 2016),Real Sample,Seawater UA04,"Wed, 05/18/2016 - 22:00","Wed, 04/13/2016 - 22:00",11,Odesa,Ukraine,45.50667,30.505,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21908,EMBLAS-II (Survey 2016),Real Sample,Seawater UA04,"Wed, 05/18/2016 - 22:00","Wed, 04/13/2016 - 22:00",10,Odesa,Ukraine,45.50667,30.505,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21909,EMBLAS-II (Survey 2016),Real Sample,Seawater UA03,"Wed, 05/18/2016 - 22:00","Wed, 04/13/2016 - 22:00",11,Odesa,Ukraine,45.83333,30.3,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21910,EMBLAS-II (Survey 2016),Real Sample,Seawater UA03,"Wed, 05/18/2016 - 22:00","Wed, 04/13/2016 - 22:00",10,Odesa,Ukraine,45.83333,30.3,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21911,EMBLAS-II (Survey 2016),Real Sample,Seawater UA02,"Tue, 05/17/2016 - 22:00","Tue, 04/12/2016 - 22:00",11,Odesa,Ukraine,46.0,30.7,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21912,EMBLAS-II (Survey 2016),Real Sample,Seawater UA02,"Tue, 05/17/2016 - 22:00","Tue, 04/12/2016 - 22:00",10,Odesa,Ukraine,46.0,30.7,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21913,EMBLAS-II (Survey 2016),Real Sample,Seawater UA01,"Tue, 05/17/2016 - 22:00","Tue, 04/12/2016 - 22:00",11,Odesa,Ukraine,46.2,30.81667,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21914,EMBLAS-II (Survey 2016),Real Sample,Seawater UA01,"Tue, 05/17/2016 - 22:00","Tue, 04/12/2016 - 22:00",10,Odesa,Ukraine,46.2,30.81667,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21915,EMBLAS-II (Survey 2016),Real Sample,Seawater JOSS25,"Tue, 05/24/2016 - 22:00","Tue, 04/19/2016 - 22:00",11,Odesa,Ukraine,44.83333,31.3,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21916,EMBLAS-II (Survey 2016),Real Sample,Seawater JOSS25,"Tue, 05/24/2016 - 22:00","Tue, 04/19/2016 - 22:00",10,Odesa,Ukraine,44.83333,31.3,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21917,EMBLAS-II (Survey 2016),Real Sample,Seawater JOSS24,"Tue, 05/24/2016 - 22:00","Tue, 04/19/2016 - 22:00",11,Odesa,Ukraine,44.58333,31.41667,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21918,EMBLAS-II (Survey 2016),Real Sample,Seawater JOSS24,"Tue, 05/24/2016 - 22:00","Tue, 04/19/2016 - 22:00",10,Odesa,Ukraine,44.58333,31.41667,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21919,EMBLAS-II (Survey 2016),Real Sample,Seawater JOSS23,"Tue, 05/24/2016 - 22:00","Tue, 04/19/2016 - 22:00",11,Odesa,Ukraine,44.33333,31.5,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21920,EMBLAS-II (Survey 2016),Real Sample,Seawater JOSS23,"Tue, 05/24/2016 - 22:00","Tue, 04/19/2016 - 22:00",10,Odesa,Ukraine,44.33333,31.5,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21921,EMBLAS-II (Survey 2016),Real Sample,Seawater JOSS22,"Tue, 05/24/2016 - 22:00","Tue, 04/19/2016 - 22:00",11,Odesa,Ukraine,43.58333,31.75,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21922,EMBLAS-II (Survey 2016),Real Sample,Seawater JOSS22,"Tue, 05/24/2016 - 22:00","Tue, 04/19/2016 - 22:00",10,Odesa,Ukraine,43.58333,31.75,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21923,EMBLAS-II (Survey 2016),Real Sample,Seawater JOSS21,"Sat, 06/04/2016 - 22:00","Sat, 04/30/2016 - 22:00",11,Odesa,Ukraine,43.25,31.83333,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21924,EMBLAS-II (Survey 2016),Real Sample,Seawater JOSS21,"Sat, 06/04/2016 - 22:00","Sat, 04/30/2016 - 22:00",10,Odesa,Ukraine,43.25,31.83333,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21925,EMBLAS-II (Survey 2016),Real Sample,Seawater JOSS20,"Thu, 05/26/2016 - 22:00","Thu, 04/21/2016 - 22:00",11,Odesa,Ukraine,43.08333,32.16667,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21926,EMBLAS-II (Survey 2016),Real Sample,Seawater JOSS20,"Thu, 05/26/2016 - 22:00","Thu, 04/21/2016 - 22:00",10,Odesa,Ukraine,43.08333,32.16667,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
21927,EMBLAS-II (Survey 2016),Real Sample,Seawater JOSS19,"Fri, 06/03/2016 - 22:00","Fri, 04/29/2016 - 22:00",11,Odesa,Ukraine,43.08333,34.25,,,,,Black Sea,,,,0.2,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,,,,Black Sea,,,,,,,,,,,,,
