ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Capacity population equivalent,Daily flow m^3/day,Dissolved organic carbon (mg/L),MES Dry matter content (mg/L),pH,Proxy pressures,River basin,Sludge retention time (days),Temperature (°C),Type of industry,Type of tertiary treatment,Type of treatment plant,Type of wastewater,Type of wastewater sample,Volume of the reactor (m^3),Wastewater fraction,Latitude.1,matrix
22115,ITN ANSWER,Real Sample,Effluent wastewater from Nicosia (Week 9-15 Nov 2017),"Wed, 11/15/2017 - 22:00","Wed, 10/11/2017 - 22:00",10,Nicosia,Cyprus,35.076539,33.448398,55000,2200,,,,,Cyprus,,,,Other,Primary sedimentation + activated sludge (including SBR) - C+N+P (P-removal),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,35.076539,wastewater
22116,ITN ANSWER,Blank Sample,Blank for effluent wastewater from Nicosia,"Tue, 11/21/2017 - 22:00","Tue, 10/17/2017 - 22:00",11,Nicosia,Cyprus,35.076539,33.448398,55000,2200,,,,,Cyprus,,,,Other,Primary sedimentation + activated sludge (including SBR) - C+N+P (P-removal),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,35.076539,wastewater
22117,ITN ANSWER,Blank Sample,Blank for effluent wastewater from Nicosia,"Tue, 11/21/2017 - 22:00","Tue, 10/17/2017 - 22:00",10,Nicosia,Cyprus,35.076539,33.448398,55000,2200,,,,,Cyprus,,,,Other,Primary sedimentation + activated sludge (including SBR) - C+N+P (P-removal),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,35.076539,wastewater
22167,ITN ANSWER,Real Sample,EWW Cyprus Pafos,"Tue, 02/05/2019 - 22:00","Tue, 01/01/2019 - 22:00",10,Pafos,Cyprus,34.77,32.41,5200000,703586,35.0,,7.5,,,,19.4,,C.1. Chlorination,Primary sedimentation + activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,34.77,wastewater
22168,ITN ANSWER,Real Sample,Effluent wastewater Erdesbach,"Mon, 03/05/2018 - 22:00","Mon, 01/29/2018 - 22:00",11,Kaiserslautern,Germany,49.573878,7.442221,0,0,,,,,National campaign in Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,49.573878,wastewater
22169,ITN ANSWER,Real Sample,Effluent wastewater Erdesbach,"Mon, 03/05/2018 - 22:00","Mon, 01/29/2018 - 22:00",10,Kaiserslautern,Germany,49.573878,7.442221,0,0,,,,,National campaign in Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,49.573878,wastewater
22170,ITN ANSWER,Real Sample,Effluent wastewater Stuttgart Muhlhausen,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",11,Stuttgart,Germany,48.84327,9.224536,0,0,,,,,,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),48.84327,wastewater
22171,ITN ANSWER,Real Sample,Effluent wastewater Stuttgart Muhlhausen,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",10,Stuttgart,Germany,48.84327,9.224536,0,0,,,,,,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),48.84327,wastewater
22172,ITN ANSWER,Blank Sample,Procedural Blank wastewater from Germany,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",11,Gottingen,Germany,51.53,9.92,0,0,,,,,,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),51.53,wastewater
22173,ITN ANSWER,Blank Sample,Procedural Blank wastewater from Germany,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",10,Gottingen,Germany,51.53,9.92,0,0,,,,,,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),51.53,wastewater
22174,ITN ANSWER,Real Sample,Effluent wastewater Bondorf Hailfingen,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",11,Herrenberg,Germany,48.527088,8.868046,0,0,,,,,,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),48.527088,wastewater
22175,ITN ANSWER,Real Sample,Effluent wastewater Bondorf Hailfingen,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",10,Herrenberg,Germany,48.527088,8.868046,0,0,,,,,,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),48.527088,wastewater
22176,ITN ANSWER,Real Sample,Effluent wastewater Eutin,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",11,Neustadt,Germany,54.145595,10.615525,0,0,,,,,,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),54.145595,wastewater
22177,ITN ANSWER,Real Sample,Effluent wastewater Eutin,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",10,Neustadt,Germany,54.145595,10.615525,0,0,,,,,,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),54.145595,wastewater
22178,ITN ANSWER,Real Sample,Effluent wastewater Wevelinghofen,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",11,Grevenbroich,Germany,51.105395,6.623059,0,0,,,,,,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),51.105395,wastewater
22179,ITN ANSWER,Real Sample,Effluent wastewater Wevelinghofen,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",10,Grevenbroich,Germany,51.105395,6.623059,0,0,,,,,,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),51.105395,wastewater
22180,ITN ANSWER,Real Sample,Effluent wastewater Lauterhofen dry weather,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",11,Amberg,Germany,49.373259,11.573713,0,0,,,,,,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),49.373259,wastewater
22181,ITN ANSWER,Real Sample,Effluent wastewater Lauterhofen dry weather,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",10,Amberg,Germany,49.373259,11.573713,0,0,,,,,,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),49.373259,wastewater
22182,ITN ANSWER,Real Sample,Effluent wastewater Schonerlinde,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",11,Berlin,Germany,52.654866,13.425629,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),52.654866,wastewater
22183,ITN ANSWER,Real Sample,Effluent wastewater Schonerlinde,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",10,Berlin,Germany,52.654866,13.425629,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),52.654866,wastewater
22184,ITN ANSWER,Real Sample,Effluent wastewater Karlstadt,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",11,Wurzburg,Germany,49.971362,9.753105,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),49.971362,wastewater
22185,ITN ANSWER,Real Sample,Effluent wastewater Karlstadt,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",10,Wurzburg,Germany,49.971362,9.753105,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),49.971362,wastewater
22186,ITN ANSWER,Real Sample,Effluent wastewater Hattingen,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",11,Hattingen,Germany,51.38821,7.191888,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),51.38821,wastewater
22187,ITN ANSWER,Real Sample,Effluent wastewater Hattingen,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",10,Hattingen,Germany,51.38821,7.191888,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),51.38821,wastewater
22188,ITN ANSWER,Real Sample,Effluent wastewater Lauterhofen,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",11,Amberg,Germany,49.375634,11.568954,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),49.375634,wastewater
22189,ITN ANSWER,Real Sample,Effluent wastewater Lauterhofen,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",10,Amberg,Germany,49.375634,11.568954,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),49.375634,wastewater
22190,ITN ANSWER,Real Sample,Effluent wastewater Geldern,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",11,Geldern,Germany,51.521708,6.301506,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),51.521708,wastewater
22191,ITN ANSWER,Real Sample,Effluent wastewater Geldern,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",10,Geldern,Germany,51.521708,6.301506,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),51.521708,wastewater
22192,ITN ANSWER,Real Sample,Effluent wastewater Donauworth,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",11,Augsburg,Germany,48.724355,10.775579,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),48.724355,wastewater
22193,ITN ANSWER,Real Sample,Effluent wastewater Donauworth,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",10,Augsburg,Germany,48.724355,10.775579,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),48.724355,wastewater
22194,ITN ANSWER,Real Sample,Effluent wastewater Landsberg-Lech,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",11,Landsberg,Germany,48.043882,10.869355,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),48.043882,wastewater
22195,ITN ANSWER,Real Sample,Effluent wastewater Landsberg-Lech,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",10,Landsberg,Germany,48.043882,10.869355,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),48.043882,wastewater
22196,ITN ANSWER,Real Sample,Effluent wastewater Bergheim-Kenten,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",11,Bergheim,Germany,50.949024,6.648925,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),50.949024,wastewater
22197,ITN ANSWER,Real Sample,Effluent wastewater Bergheim-Kenten,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",10,Bergheim,Germany,50.949024,6.648925,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),50.949024,wastewater
22198,ITN ANSWER,Real Sample,Effluent wastewater Erlangen,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",11,Erlangen,Germany,49.581811,10.988259,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),49.581811,wastewater
22199,ITN ANSWER,Real Sample,Effluent wastewater Erlangen,"Thu, 05/03/2018 - 22:00","Thu, 03/29/2018 - 22:00",10,Erlangen,Germany,49.581811,10.988259,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),49.581811,wastewater
22200,ITN ANSWER,Real Sample,Effluent wastewater Kirchhaslach,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",11,Memmingen,Germany,48.154289,10.320642,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),48.154289,wastewater
22201,ITN ANSWER,Real Sample,Effluent wastewater Kirchhaslach,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",10,Memmingen,Germany,48.154289,10.320642,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),48.154289,wastewater
22202,ITN ANSWER,Real Sample,Effluent wastewater Hetlingen,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",11,Wedel,Germany,53.60401,9.640026,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),53.60401,wastewater
22203,ITN ANSWER,Real Sample,Effluent wastewater Hetlingen,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",10,Wedel,Germany,53.60401,9.640026,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),53.60401,wastewater
22204,ITN ANSWER,Real Sample,Effluent wastewater Dortmund-Deusen,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",11,Dortmund,Germany,51.544912,7.424469,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),51.544912,wastewater
22205,ITN ANSWER,Real Sample,Effluent wastewater Dortmund-Deusen,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",10,Dortmund,Germany,51.544912,7.424469,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),51.544912,wastewater
22206,ITN ANSWER,Real Sample,Effluent wastewater Krefeld,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",11,Krefeld,Germany,51.345582,6.582525,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),51.345582,wastewater
22207,ITN ANSWER,Real Sample,Effluent wastewater Krefeld,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",10,Krefeld,Germany,51.345582,6.582525,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),51.345582,wastewater
22208,ITN ANSWER,Real Sample,Effluent wastewater Waldangelbachtal,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",11,Sinsheim,Germany,49.225648,8.773555,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),49.225648,wastewater
22209,ITN ANSWER,Real Sample,Effluent wastewater Waldangelbachtal,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",10,Sinsheim,Germany,49.225648,8.773555,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),49.225648,wastewater
22210,ITN ANSWER,Real Sample,Effluent wastewater Ruhleben,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",11,Berlin,Germany,52.52568,13.240903,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),52.52568,wastewater
22211,ITN ANSWER,Real Sample,Effluent wastewater Ruhleben,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",10,Berlin,Germany,52.52568,13.240903,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),52.52568,wastewater
22212,ITN ANSWER,Real Sample,Effluent wastewater Jena,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",11,Jena,Germany,50.917976,11.588028,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),50.917976,wastewater
22213,ITN ANSWER,Real Sample,Effluent wastewater Jena,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",10,Jena,Germany,50.917976,11.588028,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),50.917976,wastewater
22214,ITN ANSWER,Real Sample,Effluent wastewater Reichenbach,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",11,Reichenbach,Germany,50.868828,11.876698,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),50.868828,wastewater
22215,ITN ANSWER,Real Sample,Effluent wastewater Reichenbach,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",10,Reichenbach,Germany,50.868828,11.876698,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),50.868828,wastewater
22216,ITN ANSWER,Real Sample,Effluent wastewater Markkleeberg (Leipzig),"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",11,Markkleeberg,Germany,51.269359,12.385628,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),51.269359,wastewater
22217,ITN ANSWER,Real Sample,Effluent wastewater Markkleeberg (Leipzig),"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",10,Markkleeberg,Germany,51.269359,12.385628,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),51.269359,wastewater
22218,ITN ANSWER,Real Sample,Effluent wastewater Chemnitz Heinersdorf,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",11,Chemnitz,Germany,50.86239,12.890474,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),50.86239,wastewater
22219,ITN ANSWER,Real Sample,Effluent wastewater Chemnitz Heinersdorf,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",10,Chemnitz,Germany,50.86239,12.890474,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),50.86239,wastewater
22220,ITN ANSWER,Real Sample,Effluent wastewater Dessau,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",11,Dessau,Germany,51.830993,12.241761,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),51.830993,wastewater
22221,ITN ANSWER,Real Sample,Effluent wastewater Dessau,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",10,Dessau,Germany,51.830993,12.241761,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),51.830993,wastewater
22222,ITN ANSWER,Real Sample,Effluent wastewater Osnabruck-Eversburg,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",11,Osnabruck,Germany,52.29944,7.998608,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),52.29944,wastewater
22223,ITN ANSWER,Real Sample,Effluent wastewater Osnabruck-Eversburg,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",10,Osnabruck,Germany,52.29944,7.998608,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),52.29944,wastewater
22224,ITN ANSWER,Real Sample,Effluent wastewater Schwerin,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",11,Schwerin,Germany,53.611911,11.406631,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),53.611911,wastewater
22225,ITN ANSWER,Real Sample,Effluent wastewater Schwerin,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",10,Schwerin,Germany,53.611911,11.406631,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),53.611911,wastewater
22226,ITN ANSWER,Real Sample,Effluent wastewater Kirchhain,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",11,Marburg,Germany,50.834262,8.906935,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),50.834262,wastewater
22227,ITN ANSWER,Real Sample,Effluent wastewater Kirchhain,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",10,Marburg,Germany,50.834262,8.906935,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),50.834262,wastewater
22228,ITN ANSWER,Real Sample,Effluent wastewater Bremen-Seehausen,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",11,Bremen,Germany,53.111409,8.686056,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),53.111409,wastewater
22229,ITN ANSWER,Real Sample,Effluent wastewater Bremen-Seehausen,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",10,Bremen,Germany,53.111409,8.686056,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),53.111409,wastewater
22230,ITN ANSWER,Real Sample,Effluent wastewater Traunstein,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",11,Traunreut,Germany,47.878179,12.640861,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),47.878179,wastewater
22231,ITN ANSWER,Real Sample,Effluent wastewater Traunstein,"Tue, 03/27/2018 - 22:00","Tue, 02/20/2018 - 22:00",10,Traunreut,Germany,47.878179,12.640861,0,0,,,,,Germany,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),47.878179,wastewater
