ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country,matrix,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,Type of sampling depth,Depth (m),Sludge total organic carbon (% of total dry weight)
22343,HELCOM pre-EMPT,Real Sample,Muscle from Atlantic herring in Poland HELCOM pre-EMPT 16,"Tue, 09/21/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Gotland,Finland,54.916667,18.666667,Yes,Wet weight,Clupea harengus,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,76.2,,Sweden,biota,,,,,,,
22344,HELCOM pre-EMPT,Real Sample,Muscle from Atlantic herring in Poland HELCOM pre-EMPT 16,"Tue, 09/21/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Gotland,Sweden,54.916667,18.666667,Yes,Wet weight,Clupea harengus,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,76.2,,Sweden,biota,,,,,,,
22345,HELCOM pre-EMPT,Real Sample,Muscle from Atlantic herring in Poland HELCOM pre-EMPT 17,"Mon, 09/13/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Bornholm,Sweden,54.916667,16.666667,Yes,Wet weight,Clupea harengus,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,78.5,,Denmark,biota,,,,,,,
22346,HELCOM pre-EMPT,Real Sample,Muscle from Atlantic herring in Poland HELCOM pre-EMPT 17,"Mon, 09/13/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Bornholm,Denmark,54.916667,16.666667,Yes,Wet weight,Clupea harengus,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,78.5,,Denmark,biota,,,,,,,
22347,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Poland HELCOM pre-EMPT 18,"Fri, 09/10/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Gdansk,Denmark,54.44,18.608333,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Soft body,95.1,,Poland,biota,,,,,,,
22348,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Poland HELCOM pre-EMPT 18,"Fri, 09/10/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Gdansk,Poland,54.44,18.608333,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Soft body,95.1,,Poland,biota,,,,,,,
22349,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Estonia HELCOM pre-EMPT 19,"Wed, 09/08/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Kunda,Poland,59.642728,26.429916,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,78.5,,Estonia,biota,,,,,,,
22350,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Estonia HELCOM pre-EMPT 19,"Wed, 09/08/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Kunda,Estonia,59.642728,26.429916,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,78.5,,Estonia,biota,,,,,,,
22351,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Estonia HELCOM pre-EMPT 20,"Tue, 11/02/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Perakula,Estonia,59.2653,23.5852,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,79.7,,Estonia,biota,,,,,,,
22352,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Estonia HELCOM pre-EMPT 20,"Tue, 11/02/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Perakula,Estonia,59.2653,23.5852,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,79.7,,Estonia,biota,,,,,,,
22353,HELCOM pre-EMPT,Real Sample,Muscle from European flounder in Estonia HELCOM pre-EMPT 21,"Tue, 09/14/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Riga,Estonia,58.2554,22.7708,Yes,Wet weight,Platichthys flesus,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,81.0,,Latvia,biota,,,,,,,
22354,HELCOM pre-EMPT,Real Sample,Muscle from European flounder in Estonia HELCOM pre-EMPT 21,"Tue, 09/14/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Riga,Latvia,58.2554,22.7708,Yes,Wet weight,Platichthys flesus,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,81.0,,Latvia,biota,,,,,,,
22355,HELCOM pre-EMPT,Real Sample,Muscle from European flounder in Estonia HELCOM pre-EMPT 22,"Wed, 09/29/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Riga,Latvia,59.0148,22.477357,Yes,Wet weight,Platichthys flesus,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,80.1,,Latvia,biota,,,,,,,
22356,HELCOM pre-EMPT,Real Sample,Muscle from European flounder in Estonia HELCOM pre-EMPT 22,"Wed, 09/29/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Riga,Latvia,59.0148,22.477357,Yes,Wet weight,Platichthys flesus,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,80.7,,Latvia,biota,,,,,,,
22357,HELCOM pre-EMPT,Real Sample,Muscle from European flounder in Estonia HELCOM pre-EMPT 23,"Tue, 11/02/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Perakula,Latvia,59.2653,23.5852,Yes,Wet weight,Platichthys flesus,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,80.7,,Estonia,biota,,,,,,,
22358,HELCOM pre-EMPT,Real Sample,Muscle from European flounder in Estonia HELCOM pre-EMPT 23,"Tue, 11/02/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Perakula,Estonia,59.2653,23.5852,Yes,Wet weight,Platichthys flesus,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,80.7,,Estonia,biota,,,,,,,
22359,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Estonia HELCOM pre-EMPT 24,"Tue, 09/07/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Aegna,Estonia,59.57423,24.74266,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Muscle,91.2,,Estonia,biota,,,,,,,
22360,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Estonia HELCOM pre-EMPT 24,"Tue, 09/07/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Aegna,Estonia,59.57423,24.74266,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Muscle,91.2,,Estonia,biota,,,,,,,
22361,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Estonia HELCOM pre-EMPT 25,"Fri, 09/10/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Saaremaa,Estonia,58.18417,21.76878,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Soft body,96.6,,Estonia,biota,,,,,,,
22362,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Estonia HELCOM pre-EMPT 25,"Fri, 09/10/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Saaremaa,Estonia,58.18417,21.76878,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Soft body,96.6,,Estonia,biota,,,,,,,
22363,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Estonia HELCOM pre-EMPT 26,"Thu, 09/16/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Panga,Estonia,58.56203,22.27957,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Soft body,93.6,,Sweden,biota,,,,,,,
22364,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Estonia HELCOM pre-EMPT 26,"Thu, 09/16/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Panga,Sweden,58.56203,22.27957,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Soft body,93.6,,Sweden,biota,,,,,,,
22365,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Estonia HELCOM pre-EMPT 27,"Thu, 10/28/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Alliklepa,Sweden,59.346,23.78401,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Soft body,92.2,,Estonia,biota,,,,,,,
22366,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Estonia HELCOM pre-EMPT 27,"Thu, 10/28/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Alliklepa,Estonia,59.346,23.78401,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Soft body,92.2,,Estonia,biota,,,,,,,
22367,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Estonia HELCOM pre-EMPT 28,"Thu, 10/28/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Paldiski,Estonia,59.36079,23.97479,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Soft body,92.4,,Estonia,biota,,,,,,,
22368,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Estonia HELCOM pre-EMPT 28,"Thu, 10/28/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Paldiski,Estonia,59.36079,23.97479,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Soft body,92.4,,Estonia,biota,,,,,,,
22369,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Estonia HELCOM pre-EMPT 29,"Wed, 07/07/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Puise,Estonia,58.772286,23.501319,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,78.1,,Estonia,biota,,,,,,,
22370,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Estonia HELCOM pre-EMPT 29,"Wed, 07/07/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Puise,Estonia,58.772286,23.501319,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,78.1,,Estonia,biota,,,,,,,
22371,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Estonia HELCOM pre-EMPT 30,"Tue, 07/13/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Auklaid,Estonia,58.825894,22.959419,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,77.5,,Estonia,biota,,,,,,,
22372,HELCOM pre-EMPT,Blank Sample,Muscle from European perch in Estonia HELCOM pre-EMPT 30,"Tue, 07/13/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Auklaid,Estonia,58.825894,22.959419,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,77.5,,Estonia,biota,,,,,,,
22373,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Estonia HELCOM pre-EMPT 31,"Tue, 08/17/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Kurevere,Estonia,58.394824,21.968348,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,78.0,,Estonia,biota,,,,,,,
22374,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Estonia HELCOM pre-EMPT 31,"Tue, 08/17/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Kurevere,Estonia,58.394824,21.968348,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,78.0,,Estonia,biota,,,,,,,
22375,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Estonia HELCOM pre-EMPT 32,"Tue, 09/07/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Marksa,Estonia,58.3086,24.3432,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,77.5,,Estonia,biota,,,,,,,
22376,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Estonia HELCOM pre-EMPT 32,"Tue, 09/07/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Marksa,Estonia,58.3086,24.3432,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,77.5,,Estonia,biota,,,,,,,
22377,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Estonia HELCOM pre-EMPT 33,"Tue, 09/14/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Sutu,Estonia,58.2554,22.7708,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,78.5,,Estonia,biota,,,,,,,
22378,HELCOM pre-EMPT,,Muscle from European perch in Estonia HELCOM pre-EMPT 33,"Tue, 09/14/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Sutu,Estonia,58.2554,22.7708,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,78.5,,Estonia,biota,,,,,,,
22379,HELCOM pre-EMPT,Real Sample,Muscle from European flounder in Lithuania  HELCOM pre-EMPT 34,"Sat, 10/30/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Melnrage,Estonia,55.7327,21.08196,Yes,Wet weight,Platichthys flesus,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,81.0,,Lithuania,biota,,,,,,,
22380,HELCOM pre-EMPT,Real Sample,Muscle from European flounder in Lithuania  HELCOM pre-EMPT 34,"Sat, 10/30/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Melnrage,Lithuania,55.7327,21.08196,Yes,Wet weight,Platichthys flesus,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,81.0,,Lithuania,biota,,,,,,,
22381,HELCOM pre-EMPT,Real Sample,Muscle from Atlantic herring in Lithuania  HELCOM pre-EMPT 35,"Fri, 10/08/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Melnrage,Lithuania,55.7327,21.08196,Yes,Wet weight,Clupea harengus,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,77.2,,Lithuania,biota,,,,,,,
22382,HELCOM pre-EMPT,Real Sample,Muscle from Atlantic herring in Lithuania  HELCOM pre-EMPT 35,"Fri, 10/08/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Melnrage,Lithuania,55.7327,21.08196,Yes,Wet weight,Clupea harengus,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,77.2,,Lithuania,biota,,,,,,,
